,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,688399,硕世生物,1.13,56.36,56.18,56.96,55.1,55.73,2517378.0,18.87306,140833617.0,38.869,6.627,330382.32,75175.61692
1,688389,普门科技,1.397,15.97,15.8,15.97,15.73,15.75,2478852.0,7.13302,39392584.0,76.048,8.972,674253.4,55498.632585
2,688388,嘉元科技,2.593,46.68,45.65,46.93,45.12,45.5,2802016.0,5.30295,130020292.0,45.765,4.377,1077729.168,246651.765804
3,688369,致远互联,1.567,59.62,58.58,59.8,58.18,58.7,1224386.0,6.93362,72476791.0,47.317,9.855,459011.893846,105281.056122
4,688368,晶丰明源,1.17,79.53,78.63,80.4,77.01,78.61,749268.0,5.3232800000000005,59519867.0,45.188,11.427,489904.8,111940.8609
5,688366,昊海生科,0.828,88.93,88.0,89.8,88.0,88.2,556768.0,3.79728,49565973.0,34.336,3.751,1581578.2529,130391.8339
6,688363,华熙生物,0.445,83.56,83.37,83.68,81.39,83.19,1883093.0,4.12365,155345968.0,0.0,16.813,4010880.0,381582.062772
7,688358,祥生医疗,0.887,45.51,45.09,45.55,45.01,45.11,1512451.0,8.23066,68505072.0,28.804,13.176,364080.0,83628.320412
8,688357,建龙微纳,1.83,46.18,45.65,46.38,45.37,45.35,1745985.0,13.28624,79953744.0,35.252,7.045,267012.76,60686.54649
9,688333,铂力特,2.742,53.59,52.32,53.95,52.32,52.16,1127198.0,6.27635,60156110.0,56.411,4.199,428720.0,96244.628242
10,688321,微芯生物,0.409,56.43,56.63,56.63,55.8,56.2,1430838.0,3.52611,80436227.0,649.367,15.981,2313630.0,228983.487975
11,688310,迈得医疗,1.389,27.74,27.3,27.75,27.3,27.36,2203022.0,11.5813,60611666.0,31.169,7.927,231906.4,52767.699308
12,688300,联瑞新材,5.643,34.07,33.0,34.46,32.96,32.25,3837303.0,19.63176,130142213.0,36.634,6.15,292911.3738,66594.598428
13,688299,长阳科技,1.529,17.27,17.02,17.3,16.97,17.01,4833954.0,7.47708,82890109.0,42.122,5.186,487995.932479,111651.0681
14,688288,鸿泉物联,2.875,32.2,31.39,32.23,31.39,31.3,2438991.0,11.98164,77938457.0,41.818,8.774000000000001,322000.0,65546.55184
15,688258,卓易信息,11.181,70.6,63.0,70.6,63.0,63.5,6177397.0,31.22653,412590953.0,89.367,14.343,613913.53246,139664.6265
16,688218,江苏北人,1.643,28.45,27.98,28.5,27.62,27.99,5483813.0,22.546030000000002,153796112.0,49.052,6.605,333832.3,69198.1953
17,688202,美迪西,0.297,57.45,57.0,57.98,56.83,57.28,1244009.0,9.85653,71260959.0,45.236,6.775,356190.0,72508.63314
18,688199,久日新材,1.212,60.15,59.85,60.3,59.61,59.43,1091729.0,4.23717,65552374.0,27.217,5.323,669029.202,154979.560695
19,688198,佰仁医疗,4.332,37.09,35.79,37.35,35.48,35.55,3911844.0,20.0211,142923085.0,46.363,10.93,356064.0,72468.693363
20,688196,卓越新能,1.047,39.58,39.3,39.72,39.21,39.17,1721143.0,6.23833,67971445.0,26.564,4.316,474960.0,109200.396736
21,688188,柏楚电子,3.082,146.18,142.5,146.36,141.26,141.81,1302020.0,5.68335,188763628.0,78.591,6.985,1461800.0,334889.156042
22,688168,安博通,2.44,96.55,94.5,96.88,94.45,94.25,587975.0,5.06629,56457737.0,60.344,5.213,494142.9,112052.37696
23,688166,博瑞医药,0.615,31.08,31.1,31.1,30.29,30.89,2033130.0,5.50022,62539193.0,141.273,13.752,1274280.0,114885.749916
24,688139,海尔生物,0.035,28.61,28.59,29.0,28.22,28.6,4083910.0,5.61136,116580144.0,51.089,5.46,907142.299638,208221.525802
25,688138,清溢光电,3.354,16.33,15.86,16.34,15.73,15.8,8554335.0,14.07253,137525241.0,52.677,5.573,435684.4,99265.949941
26,688128,中国电研,0.93,19.53,19.35,19.55,19.26,19.35,3126071.0,6.87383,60724900.0,33.672,5.975,789988.5,88818.239097
27,688122,西部超导,1.135,32.96,32.61,33.59,32.61,32.59,1894191.0,4.77099,62651381.0,96.97,5.763,1454432.512,130858.751136
28,688118,普元信息,0.724,45.93,44.9,46.3,43.8,45.6,7791996.0,35.95952,349751248.0,63.88,10.078,438172.2,99524.793807
29,688116,天奈科技,1.395,29.08,28.89,29.39,28.56,28.68,2990176.0,5.6658100000000005,86932360.0,72.7,4.328,674243.401328,153471.98278
30,688111,金山办公,8.717,167.0,153.79,167.0,151.93,153.61,2567409.0,3.8525300000000002,408811800.0,194.186,42.602,7698700.0,1112924.7734
31,688108,赛诺医疗,1.634,15.55,15.38,15.63,15.33,15.3,2699783.0,5.97694,41846017.0,62.2,7.3,637550.0,70239.370215
32,688101,三达膜,1.566,19.46,19.24,19.46,19.2,19.16,4654843.0,6.07678,89955245.0,27.028,2.9619999999999997,649730.48,149064.547702
33,688099,晶晨股份,1.352,54.72,53.86,55.05,53.81,53.99,1687588.0,4.52128,92086368.0,72.0,8.115,2249648.64,204244.97184
34,688098,申联生物,0.811,16.15,16.03,16.3,15.91,16.02,2359475.0,5.22566,38021863.0,62.115,6.592,661665.5,72919.980965
35,688088,虹软科技,4.366,50.2,47.62,50.34,47.61,48.1,4203452.0,11.05991,208860867.0,102.449,8.381,2038120.0,190791.1491
36,688068,热景生物,-0.153,45.71,45.78,46.29,45.2,45.78,820649.0,5.80374,37496786.0,44.379,4.551,284299.474711,64634.003994
37,688066,航天宏图,1.894,36.58,35.98,36.84,35.81,35.9,1895048.0,5.03371,68870529.0,73.16,5.409,607167.032114,137713.344202
38,688058,宝兰德,2.669,101.95,99.0,102.77,98.5,99.3,963330.0,10.58988,96983696.0,59.62,21.554,407800.0,92740.8565
39,688039,当虹科技,2.647,73.3,69.83,73.8,69.3,71.41,3370465.0,20.46514,241616010.0,69.151,10.999,586400.0,120719.94701
40,688037,N芯源微,139.155,64.5,53.0,65.7,50.0,26.97,14913226.0,84.33296,798596014.0,134.375,18.404,541800.0,114060.15525
41,688036,传音控股,1.36,41.75,41.38,41.87,41.19,41.19,3320845.0,4.64046,138060119.0,45.879,4.313,3340000.0,298774.89875
42,688033,天宜上佳,1.376,26.53,26.27,26.76,26.27,26.17,1490550.0,3.4316,39471582.0,40.197,5.213,1190499.759764,115235.668205
43,688030,山石网科,1.602,39.31,38.9,39.4,38.51,38.69,1728540.0,4.71627,67387848.0,73.6,5.424,708458.397674,144073.402463
44,688029,南微医学,0.135,163.2,163.5,163.68,160.88,162.98,681125.0,2.22647,110430051.0,84.691,9.072,2176108.8,499262.92512
45,688028,沃尔德,1.369,66.62,66.0,67.86,66.0,65.72,1801407.0,9.92375,120216340.0,60.564,6.274,532960.0,120931.815098
46,688025,杰普特,1.153,41.23,41.0,41.3,40.83,40.76,1123210.0,5.3231,46178134.0,29.241,4.414,380835.638848,86998.120132
47,688023,安恒信息,2.968,117.6,114.98,120.71,113.61,114.21,893875.0,5.77297,105237902.0,77.368,14.05,871111.122,182089.58208
48,688022,瀚川智能,2.926,43.97,42.67,43.97,42.67,42.72,1376285.0,5.6348,59891492.0,50.54,5.663,474876.0,107395.599368
49,688021,奥福环保,1.265,29.61,29.48,29.62,29.22,29.24,1344475.0,7.3871,39607089.0,36.247,4.693,228836.692224,53891.14752
50,688020,方邦股份,2.567,92.69,90.5,94.63,90.21,90.37,1058702.0,5.8001000000000005,98755986.0,47.533,4.947,741520.0,169188.475157
51,688019,安集科技,0.867,127.96,126.86,128.0,125.0,126.86,829314.0,7.16473,105098107.0,113.239,7.83,679574.83048,148113.136976
52,688018,乐鑫科技,0.168,166.84,165.8,169.1,164.7,166.56,1039145.0,5.95939,173494445.0,106.627,8.625,1334720.0,290920.809976
53,688016,心脉医疗,1.569,137.2,135.6,137.58,135.4,135.08,380570.0,2.72208,52084751.0,81.667,9.526,987540.17684,191817.28944
54,688015,交控科技,1.916,31.91,31.65,31.92,31.3,31.31,1071890.0,3.27413,33958323.0,58.018,5.082,510560.0,104467.541953
55,688012,中微公司,0.361,83.3,83.99,83.99,81.58,83.0,3295236.0,6.8046,273146280.0,416.5,12.069,4455402.43421,403393.35309
56,688011,新光光电,1.122,41.46,41.5,41.74,41.1,41.0,757557.0,3.32627,31380291.0,42.742,3.52,414600.0,94424.905386
57,688010,福光股份,1.046,42.52,42.2,42.8,42.1,42.08,1599543.0,4.51266,67903306.0,53.404,3.747,653030.421636,150715.175928
58,688009,中国通号,1.023,6.91,6.86,6.94,6.86,6.84,27372626.0,2.31115,188641485.0,18.184,1.923,7317564.929,818400.0846
59,688008,澜起科技,4.19,74.6,71.22,74.67,71.05,71.6,3744611.0,5.03411,274034418.0,85.747,11.767,8428411.61194,554910.87656
60,688007,光峰科技,1.609,27.79,27.4,28.01,27.15,27.35,2255144.0,3.94305,62351804.0,38.068,6.577,1254869.708169,158939.105227
61,688006,杭可科技,1.867,38.2,37.25,38.27,37.25,37.5,1604958.0,4.36296,61025567.0,48.05,6.907,1531820.0,140522.41304
62,688005,容百科技,1.004,27.15,26.02,27.18,26.0,26.88,3839201.0,9.42434,102601655.0,48.482,2.746,1203520.6755,110601.136905
63,688003,天准科技,1.078,28.12,27.82,28.4,27.82,27.82,2078926.0,4.7057400000000005,58446932.0,42.606,3.472,544403.2,124229.894196
64,688002,睿创微纳,2.875,36.14,35.3,36.16,35.13,35.13,2963212.0,5.74617,106181759.0,97.02,7.176,1608230.0,186368.584298
65,688001,华兴源创,1.442,45.02,43.81,45.25,43.72,44.38,7564591.0,20.86808,335913741.0,67.194,9.492,1805302.0,163195.60916
66,603999,读者传媒,2.597,7.11,6.98,7.25,6.93,6.93,22599479.0,3.92352,160877152.0,101.571,2.385,409536.0,409536.0
67,603998,方盛制药,2.111,7.74,7.59,7.76,7.59,7.58,6449800.0,1.5169000000000001,49565506.0,45.529,3.031,336269.50128,329102.26128
68,603997,继峰股份,0.894,7.9,7.88,7.92,7.83,7.83,1293840.0,0.20461000000000001,10185079.0,16.572,2.682,808646.30759,499559.107
69,603996,ST中新,0.393,5.11,5.08,5.15,5.06,5.09,1324250.0,0.44120000000000004,6763589.0,-19.654,1.276,153376.65,153376.65
70,603993,洛阳钼业,0.0,3.76,3.78,3.79,3.72,3.76,71534777.0,0.40493,267563821.0,17.488,2.02,8121314.459208,6642330.491208
71,603992,松霖科技,1.27,19.93,19.69,19.93,19.62,19.68,2452730.0,5.98227,48631207.0,30.197,4.5969999999999995,799212.646994,81713.0
72,603991,至正股份,-0.412,16.92,16.91,17.05,16.68,16.99,779769.0,1.89822,13129000.0,33.176,2.678,126113.216616,69505.529256
73,603990,麦迪科技,3.866,34.12,33.04,34.19,33.04,32.85,3006679.0,2.68453,101535205.0,49.449,8.258,383695.695712,382144.0
74,603989,艾华集团,-0.048,20.64,20.84,20.88,20.46,20.65,2910662.0,0.7463200000000001,60078870.0,26.805,4.038,804964.462368,804964.462368
75,603988,中电电机,0.741,9.52,9.47,9.52,9.36,9.45,3017360.0,1.28289,28509077.0,45.333,3.525,223910.4,223910.4
76,603987,康德莱,1.754,7.54,7.52,7.59,7.47,7.41,4111671.0,0.9310700000000001,30983215.0,22.848,2.4050000000000002,332973.186,332973.186
77,603986,兆易创新,0.816,204.99,202.0,208.4,196.77,203.33,8274246.0,2.92308,1673577565.0,142.354,13.281,6581733.357174,5802573.787812
78,603985,恒润股份,0.994,14.22,14.15,14.22,14.04,14.08,1887176.0,2.02521,26715328.0,10.709,1.77,207043.2,132507.648
79,603983,丸美股份,0.838,65.0,64.47,65.5,63.6,64.46,1772594.0,4.3234,114636423.0,56.522,10.368,2606500.0,266500.0
80,603982,泉峰汽车,4.074,20.69,19.4,20.96,19.3,19.88,14165325.0,28.33065,287616233.0,33.868,2.915,413800.0,103450.0
81,603980,吉华集团,1.797,7.93,7.8,7.93,7.75,7.79,3724655.0,1.08311,29254212.0,5.64,1.226,555100.0,272701.854139
82,603979,金诚信,0.0,8.8,8.8,8.85,8.72,8.8,2088826.0,0.35804,18338908.0,17.6,1.22,513399.42016,513399.42016
83,603978,深圳新星,0.953,27.55,27.31,27.95,27.06,27.29,5135814.0,6.74685,141317610.0,35.321,2.963,440800.0,209715.2284
84,603977,国泰集团,0.497,8.09,8.0,8.09,7.88,8.05,2665920.0,0.86133,21314296.0,36.773,1.6520000000000001,316508.28982,250395.208
85,603976,正川股份,-0.958,23.77,24.0,24.1,23.51,24.0,3338971.0,8.71795,79345914.0,43.218,3.517,359402.4,91038.952626
86,603970,中农立华,1.383,12.46,12.26,12.48,12.26,12.29,1524984.0,1.59651,18861664.0,17.267,2.563,239232.119616,119018.039616
87,603969,银龙股份,0.718,4.21,4.19,4.21,4.15,4.18,6433372.0,0.76497,26921999.0,23.389,1.99,354061.0,354061.0
88,603968,醋化股份,1.128,14.34,14.28,14.35,14.13,14.18,979066.0,0.47881,13943162.0,14.633,1.949,293224.32,293224.32
89,603967,中创物流,0.434,16.19,16.18,16.19,15.97,16.12,3122240.0,4.68336,50202792.0,17.042,2.331,431733.3873,107933.3873
90,603966,法兰泰克,1.892,10.23,10.09,10.25,10.05,10.04,1627510.0,1.7335500000000001,16579682.0,31.969,2.242,215832.1308,96042.292632
91,603963,大理药业,0.804,11.29,11.29,11.35,11.18,11.2,1282722.0,1.29193,14450009.0,141.125,4.07,190801.0,112095.5875
92,603960,克来机电,-1.059,31.76,32.7,32.7,31.4,32.1,2430021.0,3.608,76962126.0,66.167,10.23,558213.76,213906.636256
93,603959,百利科技,2.857,9.0,8.78,9.04,8.73,8.75,9780192.0,2.22763,87374056.0,18.75,3.463,395136.0,395136.0
94,603958,哈森股份,8.571,7.6,7.01,7.64,7.0,7.0,7221796.0,3.3225,53487893.0,-26.481,1.629,165193.6,165193.6
95,603956,威派格,1.544,16.44,16.19,16.47,16.19,16.19,2524400.0,5.92636,41307171.0,54.8,6.5280000000000005,700278.4044,70027.9884
96,603955,大千生态,1.652,15.38,15.18,15.47,15.13,15.13,814810.0,1.14247,12475355.0,19.302,1.461,173947.8,109690.487594
97,603939,益丰药房,-1.219,75.37,76.66,76.9,74.42,76.3,2390676.0,0.65153,179345367.0,65.883,6.44,2855938.927722,2765558.977148
98,603938,三孚股份,1.361,17.13,16.9,17.15,16.88,16.9,746200.0,1.46929,12702657.0,22.84,2.283,257235.3858,86997.4458
99,603937,丽岛新材,0.935,10.79,10.75,10.8,10.67,10.69,1504829.0,1.98374,16174715.0,19.618,1.616,225381.52,81851.071172
100,603936,博敏电子,5.78,19.4,18.46,19.58,18.34,18.34,17692970.0,6.93899,334590677.0,28.529,2.547,611174.26902,494659.38416
101,603933,睿能科技,1.568,15.55,15.28,15.56,15.18,15.31,4408959.0,8.76303,68062915.0,19.689,2.984,312917.626,78237.026
102,603929,亚翔集成,0.767,14.46,14.36,14.68,14.22,14.35,2679245.0,2.77469,38530197.0,19.026,2.7199999999999998,308518.56,139625.76
103,603928,兴业股份,1.294,11.74,11.63,11.76,11.55,11.59,732200.0,0.36319,8555977.0,16.306,1.843,236678.4,236678.4
104,603927,中科软,1.652,75.07,73.76,75.26,73.15,73.85,4323744.0,10.19751,321558214.0,89.369,17.68,3182968.0,318296.8
105,603926,铁流股份,1.054,11.51,11.44,11.51,11.36,11.39,671630.0,0.7813800000000001,7694764.0,16.681,1.697,184579.0791,98933.144929
106,603922,金鸿顺,1.2,15.18,15.0,15.23,14.95,15.0,683667.0,2.13646,10305722.0,34.5,1.7970000000000002,194304.0,48576.0
107,603920,世运电路,3.032,16.99,16.5,17.02,16.42,16.49,9450221.0,7.20717,158736059.0,30.339,2.84,696031.3688,222776.988182
108,603919,金徽酒,-0.108,18.42,18.49,18.62,18.15,18.44,3639360.0,0.99982,66814765.0,25.944,2.954,718748.396316,670488.0
109,603918,金桥信息,1.286,11.81,11.66,11.86,11.46,11.66,4762997.0,2.06086,55825792.0,40.724,4.594,275557.1793,272949.01166
110,603917,合力科技,0.791,10.2,10.15,10.24,10.11,10.12,2060380.0,2.5672,20973199.0,16.359,1.6800000000000002,159936.0,81863.07024
111,603916,苏博特,2.06,15.36,15.05,15.48,15.04,15.05,4430743.0,3.38065,67905035.0,17.455,2.088,477096.96,201311.232
112,603915,国茂股份,1.711,14.86,14.7,14.86,14.61,14.61,2128970.0,2.52307,31439164.0,25.621,3.187,688504.5164,125388.68
113,603912,佳力图,1.523,14.0,13.79,14.03,13.79,13.79,3198300.0,2.93185,44564241.0,27.451,3.959,303731.96,152723.2
114,603909,合诚股份,0.925,13.09,13.06,13.1,12.92,12.97,1366360.0,0.9645400000000001,17773598.0,19.37,2.531,187603.262,185431.631
115,603908,牧高笛,1.604,24.7,24.41,24.83,24.22,24.31,657900.0,2.85432,16136829.0,39.839,3.696,164724.3,56931.78335
116,603906,龙蟠科技,1.473,10.33,10.2,10.34,10.13,10.18,4532528.0,4.04724,46448599.0,31.303,2.368,312599.35296,115686.215424
117,603903,中持股份,1.276,13.49,13.38,13.53,13.32,13.32,1556724.0,1.49973,20907817.0,14.989,2.236,195084.8256,140026.235074
118,603901,永创智能,0.766,10.53,10.45,10.55,10.35,10.45,4965955.0,2.22301,51893565.0,58.5,3.507,462676.644378,235228.644378
